numero_de_cliente	prob
11675570	0.00237306258788164
11675731	0.00122045337067741
11677630	0.00651413887457066
11678491	0.00144894234996837
11678621	0.00179927680713677
11679331	0.00170376017691256
11680281	0.00169326366893491
11682860	0.00081455039527934
11683331	0.0141620482707979
11685801	0.000914083569361744
11687440	0.00277184809758122
11687720	0.000931666946162057
11688421	0.00285093991162124
11689401	0.0237724928806446
11690330	0.001776935617238
11690740	0.00497313328339215
11691191	0.00468011653328965
11691850	0.00248521183706393
11695140	0.0446025622775758
11695321	0.0017349718872126
11697261	0.00214023986996808
11697490	0.0382299355175478
11698501	0.000967099534864766
11698641	0.00192662009875457
11700691	0.000788103750217444
11700790	0.00435499277361513
11701350	0.00105750721809907
11701770	0.00498971343440319
11702170	0.000765927476409964
11702430	0.000794575486500058
11702710	0.00268949440486815
11703280	0.00120415343679512
11704161	0.001043684288957
11704260	0.00235490087687688
11704650	0.00201592253077286
11705610	0.478756439133232
11708130	0.000773459925818086
11709131	0.00151510557704146
11713251	0.00141660696917872
11716360	0.00270825733549375
11717880	0.00129764902231728
11720520	0.0103414080156843
11723611	0.000939085281895791
11724141	0.00131997986886908
11724520	0.00240179867235744
11725200	0.0631943990065098
11725651	0.0024519256442052
11729620	0.00313996767404029
11731950	0.00373208947309293
11732421	0.00145487381930181
11734201	0.00231108237389982
11738921	0.000758484358811726
11739140	0.000873542791195773
11740680	0.00116900910374593
11742460	0.00242380082628538
11744100	0.00134719861587772
11745200	0.00215590375114747
11746710	0.00297729074728502
11746730	0.00506120219970702
11747710	0.00129047217844962
11748120	0.0141024475805589
11748810	0.00107457583715546
11749090	0.00219664468673139
11750710	0.00287734283989512
11753050	0.00300138171769576
11753261	0.0136538698135223
11753910	0.000870653953772841
11758720	0.00283772027301858
11759960	0.00228675089901979
11760001	0.000956571127668929
11760370	0.0184194077247166
11760780	0.00182703223904114
11763160	0.000833959564454694
11763191	0.000783136983858961
11763301	0.00387107735811606
11763540	0.00828048962890327
11764540	0.00505395691284405
11764971	0.00503486591267039
11765330	0.00136436372100695
11765340	0.00157151934524477
11766751	0.00365479183837839
11770150	0.0015674331405534
11772500	0.00121922222514585
11774481	0.00567236431979293
11776961	0.000804020601415692
11777661	0.0013069179394659
11777951	0.00130643244572502
11778631	0.000795475220319317
11778761	0.0024410799476942
11779270	0.00173671939327056
11779810	0.000881632545840427
11779820	0.00406459901088602
11781360	0.00223124311635155
11783010	0.00404957097629793
11783150	0.00159850825824129
